Cargo,Local,Empresa,Descricao,Link,nivel,vaga,cidade,estado,latitude,longitude
engenheiro de dados,"Jaraguá do Sul, SC",UpFlux Process Mining,Aplicar e disseminar uma cultura de melhores práticas de engenharia e arquitetura de software e dados;O volume de dados e criticidade dos casos de uso da…,https://tinyurl.com/y33wzzm4,senior,engenheiro de dados,jaragua do sul, SC,-26.4851,-49.0713
cientista de dados,"Bauru, SP",Finch Soluções,Conhecimento de conceitos de Machine Learning e algoritmos de análises de dados;Irá trabalhar com grandes bases de dados de origens e formatos distintos…,https://tinyurl.com/y2ae3zps,senior,cientista de dados,bauru, SP,-22.3246,-49.0871
engenheiro de dados,"Ponta Grossa, PR",KMM,"Como Engenheiro de dados, você ajudará na criação de ferramentas e serviços de exploração de dados.Conhecimento de linguagens de programação relacionada a…",https://tinyurl.com/y6tqveag,senior,engenheiro de dados,ponta grossa, PR,-25.0916,-50.1668
engenheiro de dados - dv,"Jaguariúna, SP",Divulga Vagas,"Construir, avaliar e executar scripts de atualização de dados de forma performática.Experiência com ferramentas de ETL e integração de dados;",https://tinyurl.com/y4flfb7r,senior,engenheiro de dados,jaguariuna, SP,-22.7037,-46.9851
engenheiro de dados senior,"Jaguariúna, SP",#vempraGateware,"Buscamos um Engenheiro de Dados Sênior para atuar em nosso #DreamTeamGateware alocado diretamente em nosso cliente, sendo este uma multinacional em Jaguariúna…",https://tinyurl.com/y6srolo2,senior,engenheiro de dados,jaguariuna, SP,-22.7037,-46.9851
engenheiro de dados junior,"São Carlos, SP",Grupo diMelo,Acompanhar release de pacotes de aplicações.Participar de definições de melhores práticas para desenvolvimento de soluções existentes para um melhor…,https://tinyurl.com/y37rlq88,junior,engenheiro de dados,sao carlos, SP,-22.0174,-47886.0
engenheiro de dados junior,"São Carlos, SP",Grupo diMelo,Acompanhar release de pacotes de aplicações.Participar de definições de melhores práticas para desenvolvimento de soluções existentes para um melhor…,https://tinyurl.com/y37rlq88,junior,engenheiro de dados,sao carlos, SP,-27.0798,-53.0037
engenheiro de dados pleno,"São Carlos, SP",Grupo diMelo,"Acompanhar release de pacotes de aplicações.Contribuir na definição das camadas de dados e seu respectivo uso;Tipo de vaga: Tempo Integral, Efetivo/CLT.",https://tinyurl.com/yyt8cadr,pleno,engenheiro de dados,sao carlos, SP,-22.0174,-47886.0
engenheiro de dados pleno,"São Carlos, SP",Grupo diMelo,"Acompanhar release de pacotes de aplicações.Contribuir na definição das camadas de dados e seu respectivo uso;Tipo de vaga: Tempo Integral, Efetivo/CLT.",https://tinyurl.com/yyt8cadr,pleno,engenheiro de dados,sao carlos, SP,-27.0798,-53.0037
engenheiro de dados,"Rondonópolis, MT",Só Talentos,"Conhecimento de bancos de dados SQL.Analise de dados e processos internos/ externos com finalidade de responder questões comerciais, além de identificar…",https://tinyurl.com/y3nbclty,senior,engenheiro de dados,rondonopolis, MT,-16.4673,-54.6372
