Cargo,Local,Empresa,Descricao,Link
ENGENHEIRO DE DADOS,"São Paulo, SP",JEITTO,Noções de governança e privacidade de dados.Desenvolver e monitorar os processos de ingestão de dados;Aqui no Jeitto engenharia de dados e tecnologia são…,https://tinyurl.com/yx9olbap
Líder de Eng. de Dados,"São Paulo, SP",PayGo Pagamentos,Melhorar a qualidade e eficiência de processos de envio e transformação de dados;Experiência técnica em modelagem de dados e técnicas de segmentação;,https://tinyurl.com/y682vwqr
[BH] Engenheiro de Dados,"Belo Horizonte, MG",RADIX Engenharia e Software,"Transformar de dados (manipulação de dados, estruturação de dados, transformações matemáticas, transformações estruturais, leitura e parse de arquivos - excel,…",https://tinyurl.com/yyop3kp2
[SP] Engenheiro de Dados Sênior,"São Paulo, SP",RADIX Engenharia e Software,"Manipulação de dados em SQL;Além da experiência de crescimento e troca de conhecimento, os nossos colaboradores têm acesso a:Plano de Saúde e Odontológico;",https://tinyurl.com/y5hvyyol
Engenheiro de Dados Sênior,"São Paulo, SP",Beijaflore Brasil,Experiência na criação de scripts para tratamento de dados utilizando linguagem em Pyspark;Manutenção e codificação de melhorias em scripts Pyspark que efetuam…,https://tinyurl.com/y4b2buoz
Engenheiro de Dados,"Belo Horizonte, MG",Yellow,Conhecimento de análise de dados.Implementação de técnicas de visualização de dados.Desenvolvimento e manutenção de Banco de dados.,https://tinyurl.com/yynyh7f4
Engenheira(o) de Dados Sr.,"São Paulo, SP",Easynvest,"Análise do pipeline de dados, identificação de gaps e elaboração de planos de ação para melhorias de arquitetura (como implementação de testes, refactoring de…",https://tinyurl.com/y647lb4f
Engenheiro de Dados Pleno,"São Paulo, SP",Beijaflore Brasil,Experiência na criação de scripts para tratamento de dados utilizando linguagem em Pyspark;Manutenção e codificação de melhorias em scripts Pyspark que efetuam…,https://tinyurl.com/y3w283kw
Engenheiro de Dados,"Curitiba, PR",Trackmob,"Experiência com arquiteturas com grande volume de dados;Desenvolver, construir, testar e manter arquiteturas de dados;",https://tinyurl.com/y5qv3uar
Engenheiro de Dados SR,"Curitiba, PR",LogComex,"Desenvolver, construir, testar e manter as arquiteturas dos bancos de dados e sistemas de processamento de dados em tempo real e de forma distribuída;",https://tinyurl.com/y2bzp8t7
Engenheiro de Dados Sênior,Remoto,"Liferay, Inc.","Construir batchs em larga escala e pipelines de dados em tempo real com frameworks de processamento de dados como o Apache Beam, o Apache Spark e a Plataforma…",https://tinyurl.com/yxvny7rb
Analista de Arquitetura de Soluções e Engenharia de Dados,Brasil,Accenture,Modelagem e implementação de banco de dados informacionais;Capacidade analítica e crítica de dados;Experiência com modelagem e implementação do banco de dados…,https://tinyurl.com/y2osh8lx
Engenheiro(a) de Dados | Big Data & AI,"Poá, SP",Globo,Domínio das boas práticas de engenharia de software.Conhecimento de banco de dados (SQL ou NoSQL);Conhecimento de stream de dados usando Spark Streaming ou…,https://tinyurl.com/yxnyc66k
Pessoa Engenheira de Dados,"Rio de Janeiro, RJ",Passei Direto,"Arquitetar e construir estruturas para BI, análise e ciência de dados, integrando dados de nossas várias fontes de dados;",https://tinyurl.com/y4r7zne7
Especialista em Engenharia de Dados,"Curitiba, PR",MadeiraMadeira,"Experiência com ferramentas de streaming de dados.Este profissional será responsável pelas decisões técnicas do time de Engenharia de Dados, por isso buscamos…",https://tinyurl.com/y5q2wmnm
Consultor(a) de Engenharia de Dados (SP),"São Paulo, SP",Avanade,Com a manipulação de dados e criação de processos de ETL.Domínio de técnicas de processos de ETL/Modelagem dimensional;Trabalhe com a sua paixão!,https://tinyurl.com/yxhtjw9q
Desenvolvedor(a) Engenharia de Dados Pleno (PE),"Recife, PE",Avanade,Com a manipulação de dados e criação de processos de ETL.Modelar os dados em um ambiente de BigData / DataWareHouse.Amar a área de tecnologia.,https://tinyurl.com/y2nu9tv8
Pessoa Engenheira de Dados | PL,"São Paulo, SP",ClickBus,"Como Engenheiro de Dados do time de Data & Insights, você terá um papel crucial na estruturação de nossa estratégia de gerenciamento de dados na ClickBus,…",https://tinyurl.com/yxtfzvat
Engenheiro(a) de Dados Sênior,Santa Catarina,Magrathea,Elaboração de propostas de desenho de solução para processamento de grande volume de dados.Modelagem de dados para Data Warehouse.O que você fez até aqui?,https://tinyurl.com/y3g6w3cs
Analista Sr (Engenharia de Dados),"São Paulo, SP",GPA,Desenvolvimento de integrações de dados no ecossistema Hadoop;Desenvolvimento de DataMarts para as áreas de negócio;App Pão de Açúcar Mais.,https://tinyurl.com/y3sh3x2f
Coordenador(a) de Engenharia de Dados,"São Paulo, SP",Easynvest,Experiência em liderança de Times / Squads / Projetos de engenharia de dados.Conhecimento em governança de dados.Plano de saúde e odontológico.,https://tinyurl.com/y6z5jf4y
Engenheiro de Dados,Remoto,MIND - Multiplan,Mapear e modelar as estruturas de dados dos processos de negócio relevantes da companhia.Escalar e manter a infraestrutura de dados.,https://tinyurl.com/y2wnabg6
Pessoa Engenheira de Dados Sênior,"Porto Alegre, RS",Lojas Renner,Essa pessoa atuará em conjunto com os times de ciência de dados e de machine learning no desenvolvimento e no uso de tecnologia de dados para projetos da…,https://tinyurl.com/y2adm3zw
[CALINA] Estágio em Engenharia de Dados,"São Carlos, SP",Calina Marketing Digital,"A área de BI dentro da Calina está se expandindo e em Engenharia de Dados você trabalhará com banco de dados de uma maneira geral, extração, manipulação,…",https://tinyurl.com/yxz3mdby
Engenheiro(a) de Dados,"São Paulo, SP",tembici.,"Atuar dentro do time de dados, traduzindo as demandas externas em produtos de dados;Experiência com bancos de dados;Experiência com modelagem de dados;",https://tinyurl.com/yykmtxj9
Engenheiro de Dados Junior,"João Pessoa, PB",Indra,"Fluxos de trabalho de ETL;Você atuará no nosso time de feras no segmento de que atende clientes de administração pública, em projetos estratégicos e em um…",https://tinyurl.com/y2hn5zs7
Engenheiro de Dados,"São Paulo, SP",Conquest One,"Trabalhar junto aos arquitetos de dados e analistas de sistemas dentro de uma metodologia ágil, provendo o pipeline para extração, transformação de carga de…",https://tinyurl.com/y3q5tcl4
