Cargo,Local,Empresa,Descricao,Link
Pessoa Cientista de Dados I,Remoto,Involves,"Como cientista de dados, você terá a oportunidade de trabalhar em várias frentes.Proficiência em alguma ferramenta de visualização de dados e conhecimento de…",https://tinyurl.com/y4pq6znu
Cientista de Dados,"São Paulo, SP",Assina Saúde,Buscamos um(a) cientista de dados para criarem e implementarem modelos de predição e análise.Desenvolver modelos utilizando técnicas de Inteligência Artificial…,https://tinyurl.com/yy3wo2oe
Cientista de Dados | Pleno/Sênior,Brasil,Compasso UOL,"Além dos benefícios contratuais da Compasso, nossos colaboradores contam com trilhas de capacitação para aprendizado de novas tecnologias e métodos, além de…",https://tinyurl.com/y2zu5rvj
CIENTISTA DE DADOS,"Campinas, SP",Kumulus Cloud e Data,Extrair insights através de metodologias de mineração de dados;Descobrir e avaliar a relevância de novas fonte de dados;,https://tinyurl.com/y5tjzvjb
Cientista de Dados,"São Paulo, SP",Saúde iD - Toda Saúde é única.,Apresentar resultados de projetos de ciência de dados de forma compreensível pelas áreas envolvidas;Discutir a adoção de novas ferramentas de análise de dados…,https://tinyurl.com/y4zarx54
CIENTISTA DE DADOS,"Brasília, DF",TECNET IT SERVICES,EXPERIÊNCIA: Mínima de 5 (cinco) anos no uso de soluções analíticas(OLAP) Microstrategy e/ou PowerBI; II – Conhecimentos curriculares comprovados de: a)…,https://tinyurl.com/y4oahdkc
Pessoa Cientista de Dados Sênior,"São Paulo, SP",ClickBus,SQL e estrutura de banco de dados.Liderança de frentes de trabalho e/ou projetos de alta complexidade analítica.Café para quem é de café;,https://tinyurl.com/yysvw68q
Cientista de Dados Pleno,"Barueri, SP",Celcoin,"Conhecimento de estrutura de dados (bancos de dados relacional);Esta é uma excelente oportunidade se você deseja trabalhar como cientista de dados, utilizar…",https://tinyurl.com/yyoyllxw
CIENTISTA DE DADOS,"Rio de Janeiro, RJ",CASA&VIDEO,Desenvolvimento de rotinas e aplicações de análise de dados.Resolver problemas de negócios usando técnicas orientadas por dados;QUAL SERÁ SUA TAREFA NA CASA?,https://tinyurl.com/y3gb9x3q
Engenheiro/Cientista de Dados - Pleno,"São Paulo, SP",Softtek,"Aplicar técnicas de visualização de dados e de estatística para análise de dados.O cientista de dados desempenhará um papel fundamental no planejamento,…",https://tinyurl.com/y2tu53p6
Pessoa Cientista de Dados Sênior (Vaga Remota) - Remoto,Remoto,Méliuz,Atuar na especificação de processos e boas práticas para servirem de referência no desenvolvimento de projetos de Ciência de Dados.Méliuz | Vagas em aberto.,https://tinyurl.com/y52l6tra
Cientista de Dados Machine learning,"São Paulo, SP",GeekHunter,Análise de dados para suporte a planejamento e tomada de decisões.Gestão de dados (estruturados e não estruturados).Personalização da carteira de benefícios.,https://tinyurl.com/y5klckwm
Cientista de Dados,"Belo Horizonte, MG",DTI,Experiência de pelo menos 5 anos em manipulação de conjunto de dados e modelagem;Experiência na criação e utilização de algorítimos e estatísticas avançados de…,https://tinyurl.com/y3rgff7h
Cientista de Dados / Data Scientist / Desenvolvedor Machine...,"Goiânia, GO",EasyCrédito,Construção de Pipelines de Processamento de Dados;Construção de Painéis de Visualização;Criação de Rotinas de Análise Preditiva;Análise e Modelagem de Dados;,https://tinyurl.com/y45l9j64
Cientista De Dados - DV,"Brasília, DF",Divulga Vagas,"II – Conhecimentos curriculares comprovados de: a) Banco de dados dimensionais, transacionais e não relacionais (BigData - nosql); b) Modelagem de dados,…",https://tinyurl.com/y5sy7p4u
Cientista de Dados Pleno,"Florianópolis, SC",Neoway,"Possuir skills básicos de engenharia de software, e saber desenvolver modelos de ciência de dados em pacotes de software, e não somente em scripts.",https://tinyurl.com/y3mbn8an
Analista CRM PL - Cientista de Dados,"São Paulo, SP",BANCO DAYCOVAL,"Domínio de ferramentas de Banco de dados e linguagem de programação (SQL, Python, R ).Aplicar técnicas de advanced analytics para produzir segmentações,…",https://tinyurl.com/y6q35o8s
CIÊNTISTA DE DADOS - SUPERIOR EM ANDAMENTO,"Florianópolis, SC",None,"Descobrir e avaliar a relevância de novas fonte de dados, extrair insights através de metodologias de mineração de dados.Ter perfil proativo e pesquisador.",https://tinyurl.com/y6s3l4cq
Cientista de Dados Sênior,Estado de São Paulo,GFT Technologies,Sólidas habilidades de resolução de problemas.Cientista de Dados Sênior - 14624.Capacidade de lidar com situações ambíguas.Junte-se a nossa equipe!,https://tinyurl.com/y69kecgn
